,NumberofBuildings,NumberofFloors,PropertyGFAParking,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,LogSiteEnergyUseWN(kBtu),LogPropertyGFATotal,LogPropertyGFABuilding(s),LogLargestPropertyUseTypeGFA,LogGHGEmissionsIntensity,HasGas,HasSteam,Decennie,TotalPourcentGFAParking,TotalPourcentLargestProperty,TotalPourcent2ndLargestProperty,TotalPourcent3rdLargestProperty,TotalPourcentBuildings,BALLARD,Ballard,CENTRAL,Central,DELRIDGE,DELRIDGE NEIGHBORHOODS,DOWNTOWN,Delridge,EAST,GREATER DUWAMISH,LAKE UNION,MAGNOLIA / QUEEN ANNE,NORTH,NORTHEAST,NORTHWEST,North,Northwest,SOUTHEAST,SOUTHWEST,Distribution Center,Hospital,Hotel,K-12 School,Large Office,Low-Rise Multifamily,Medical Office,Mixed Use Property,Other,Refrigerated Warehouse,Retail Store,Senior Care Community,Small- and Mid-Sized Office,Supermarket / Grocery Store,Warehouse,Worship Facility,Adult Education,Automobile Dealership,Bank Branch,Courthouse,Data Center,Distribution Center,Financial Office,Fire Station,Fitness Center/Health Club/Gym,Food Service,Hospital (General Medical & Surgical),Hotel,K-12 School,Laboratory,Library,Lifestyle Center,Manufacturing/Industrial Plant,Medical Office,Movie Theater,Multifamily Housing,Museum,Non-Refrigerated Warehouse,Office,Other,Other - Education,Other - Entertainment/Public Assembly,Other - Lodging/Residential,Other - Mall,Other - Public Services,Other - Recreation,Other - Restaurant/Bar,Other - Services,Other - Utility,Other/Specialty Hospital,Parking,Performing Arts,"Personal Services (Health/Beauty, Dry Cleaning, etc)",Police Station,Pre-school/Daycare,Prison/Incarceration,Refrigerated Warehouse,"Repair Services (Vehicle, Shoe, Locksmith, etc)",Residence Hall/Dormitory,Residential Care Facility,Restaurant,Retail Store,Senior Care Community,Social/Meeting Hall,Strip Mall,Supermarket/Grocery Store,Urgent Care/Clinic/Other Outpatient,Wholesale Club/Supercenter,Worship Facility,
33,1.0,24,205970,,,67.0,16.598247301911137,12.713525588195903,11.745948057467846,12.761769335251394,0.636576829071551,1,0,1960,61.999939797116284,104.94265675325848,,,38.000060202883716,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,5,0,65676.0,493.0,78.0,16.070601656398004,12.03240949630686,12.03240949630686,11.54600234336302,0.33647223662121295,0,0,1970,0.0,61.482913481842786,39.06611545668144,0.2932516432204146,100.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,2,0,5681.0,,72.0,14.030162759594496,10.958304681204567,10.958304681204567,10.854141063037792,0.4574248470388754,1,0,1920,0.0,90.10761301107473,9.892386988925264,,100.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,8,0,4993.0,,14.0,15.472305322151866,10.992066340225865,10.992066340225865,10.461616521417985,0.4700036292457356,0,0,1910,0.0,58.833333333333336,8.405723905723907,,100.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,2,0,23500.0,5459.0,66.0,16.568135256134116,10.869520376305097,10.869520376305097,10.064798252418377,2.4948569806411682,1,0,1920,0.0,44.720165940360424,44.720165940360424,10.388399398656492,100.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,20,10043,10043.0,5000.0,71.0,15.440588918419552,11.49918144717797,11.391796839062748,11.333703100713947,0.4700036292457356,1,0,1930,10.182087312691364,84.74866678832856,10.182087312691364,5.069245898980068,89.81791268730863,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,34,146694,117668.0,0.0,63.0,18.22610124056691,13.809706748397092,13.650068536864499,13.809706748397092,1.244154593958768,1,1,1980,14.754800786954895,100.0,11.835302732214055,0.0,85.24519921304511,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,7,0,13730.0,9604.0,98.0,15.492291181118645,11.172559658233004,11.172559658233004,10.629610022590025,1.0612565021243408,1,0,1980,0.0,58.10260014054814,19.297259311314125,13.498243148278286,100.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1.0,7,0,26450.0,8000.0,99.0,15.621898917948172,11.718401867230671,11.718401867230671,11.389185974808175,1.0473189942805592,1,0,1900,0.0,71.94853839263904,21.537334093314875,6.514127514046088,100.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1.0,5,42546,42546.0,,86.0,15.507155818162556,11.636681736391475,11.165181945422688,11.165181945422688,0.8241754429663494,1,0,1950,37.59377236620042,62.40622763379958,37.59377236620042,,62.40622763379958,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1.0,7,34735,3000.0,,84.0,15.73760572527001,11.921412668610715,11.658920117504168,11.585692538521108,0.8458682675776092,1,0,2000,23.08694409549826,71.4821239855636,1.9939781858786465,,76.91305590450173,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.0,6,28200,28300.0,,80.0,15.597544217798998,11.663936936922068,11.386239162597649,11.390656130909488,0.8754687373538999,1,0,1990,24.247635425623386,76.08770421324162,24.333619948409286,,75.75236457437661,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1.0,6,36744,,,81.0,15.739734027439573,11.955063170746223,11.685693195625964,11.955063170746223,0.6830968447064438,1,0,1990,23.614092363851363,100.0,,,76.38590763614863,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1.0,3,0,,,76.0,15.150733573748312,10.934409692234288,10.934409692234288,10.934409692234288,1.2837077723447896,1,0,1910,0.0,100.0,,,100.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1.0,4,44891,44891.0,,94.0,15.49959776743791,11.719476112310662,11.26513055021489,11.26513055021489,0.8754687373538999,1,0,1990,36.51396593515641,63.48603406484359,36.51396593515641,,63.48603406484359,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1.0,2,0,,,71.0,15.104784045627481,10.914815699745034,10.914815699745034,10.914815699745034,0.9555114450274363,1,0,1960,0.0,100.0,,,100.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1.0,5,0,0.0,,54.0,17.634260872497123,12.290432176147913,12.290432176147913,12.599174981854821,2.190535589185423,1,0,1920,0.0,136.17137631374567,0.0,,100.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
50,1.0,2,0,,,1.0,16.646353742468975,11.444625210711436,11.444625210711436,11.444625210711436,2.017566137961748,1,0,1970,0.0,100.0,,,100.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
